Name	Latitude	Longitude	Category	Checkins
St. Francis Of Assisi Church	40.7723043099	-73.9010506306	Church	402
Astoria, NY	40.7718318726	-73.9300918579	Neighborhood	70189
Matrix Fitness Club	40.7707686446	-73.9038869484	Gym	8880
Rite Aid	40.77094	-73.903717	Pharmacy	2637
Matrix Fitness Club Parking Lot	40.770665	-73.903742	Parking	14
Antonio's Pizzeria and Wine Bar!	40.769989	-73.896357	Italian Restaurant	382
St Francis Of Assisi School	40.7718649778	-73.9004018314	Elementary School	106
Loukoumi Taverna	40.7707394573	-73.9028879262	Greek Restaurant	1411
Asroria	40.7727541658	-73.8994257579	Neighborhood	21
Maddisons World	40.7713658042	-73.9006142703	General Entertainment	23
SiriusXM Studios at JALC	40.7714057284	-73.9006716862	Office	22
Express Laundromat	40.7698606034	-73.9017798093	Laundry Service	253
MTA Q 101 (20th Ave & 49th Street)	40.7723087529	-73.895883144	Bus Station	215
Raimonda Park	40.772637808	-73.8975424962	Playground	109
Xing Chef	40.7698818149	-73.9019393921	Chinese Restaurant	108
Astoria Homeowners Association	40.771382	-73.90102	Community Center	1
Ditmars Supermarket	40.7699838316	-73.9019750221	Food & Drink Shop	114
48st Park	40.7725065612	-73.8972668954	Park	38
Sergio's Pizza	40.7692876726	-73.9007348436	Pizza Place	104
Berry Fresh Farms Supermarket	40.7702855614	-73.9041682813	Grocery Store	3693
ABC Variey Store	40.77251905	-73.90087158	Miscellaneous Shop	6
Dunkin Donuts	40.7700393791	-73.8969740692	Coffee Shop	217
Subway	40.7704991042	-73.9039041729	Sandwich Place	244
Astoria Bakery	40.7709713101	-73.9032726077	Bakery	243
Temple Rakowski	40.77288	-73.901414	Synagogue	2
Calla Lilly Nails	40.7709633056	-73.9034161454	Nail Salon	41
Doctor's Wine & Spirits	40.7699510528	-73.9018888988	Winery	65
Eli's Deli & Grocery	40.7708904722	-73.9029912735	Deli / Bodega	336
Krave Cafe & Grill	40.7708564708	-73.9031864851	Café	1558
48th Street Park	40.772783	-73.897352	Park	9
Dollar Rent A Car	40.7743069	-73.8982269	Rental Car Location	34
MTA Q-69 Bus moving target	40.7694584358	-73.8962965479	Bus Line	86
Joe's coffee	40.7698964124	-73.8963137731	Coffee Shop	40
CNT RESCUE TRAINING	40.769977032	-73.8964056405	Medical School	125
Ridgewood Savings Bank	40.7706130933	-73.9036345482	Bank	111
Thrifty Car Rental	40.774377	-73.898615	Rental Car Location	68
Q69a MTA Bus Stop (Hazen & Ditmars)	40.7684895401	-73.8989606858	Bus Line	471
Advantage Rent A Car	40.774357	-73.898454	Rental Car Location	2
